id;descricao;inicio;fim;tipo_calendario_id;dre_id_eol;ue_id_eol;status;criado_em;bimestre
1357;Retificações do 1º Bimestre;2016-06-20 00:00:00.000;2016-06-24 00:00:00.000;3;109300;093734;1;2016-06-20 12:50:53.897;1
1358;Prorrogação do fechamento do 1º bimestre;2016-07-04 00:00:00.000;2016-07-08 00:00:00.000;3;109300;093734;1;2016-07-04 11:34:54.763;1
1359;primeiro bimestre;2016-12-14 00:00:00.000;2016-12-16 00:00:00.000;3;109300;093734;1;2016-12-14 17:59:09.297;1
1360;reparos;2016-12-14 00:00:00.000;2016-12-16 00:00:00.000;3;109300;093734;1;2016-12-14 17:59:45.330;1
1361;"fechamento 2º bimestre ";2016-12-07 00:00:00.000;2016-12-09 00:00:00.000;3;109300;093734;1;2016-12-08 12:26:09.887;2
1362;"fechamento pendências 2º bimestre ";2016-12-07 00:00:00.000;2016-12-09 00:00:00.000;3;109300;093734;1;2016-12-08 12:27:04.013;2
1363;correção 2º bimestre;2016-12-07 00:00:00.000;2016-12-09 00:00:00.000;3;109300;093734;1;2016-12-08 12:28:54.847;2
1364;retificação  2º bimestre;2016-12-07 00:00:00.000;2016-12-09 00:00:00.000;3;109300;093734;1;2016-12-08 12:29:45.850;2
1365;correção bimestre;2016-12-19 00:00:00.000;2016-12-22 00:00:00.000;3;109300;093734;1;2016-12-19 17:40:05.130;2
1366;fechamento 2º bimestre;2016-09-22 00:00:00.000;2016-09-30 00:00:00.000;3;108200;019275;1;2016-09-22 14:46:18.277;2
1367;Correção de Pendência do 2º Bimestre;2016-09-28 00:00:00.000;2016-10-09 00:00:00.000;3;108100;093131;1;2016-09-28 21:27:24.017;2
1368;Correção de Pendência do 1º Bimestre;2016-06-13 00:00:00.000;2016-07-08 00:00:00.000;3;108100;093131;1;2016-06-14 20:35:41.310;1
1369;Correção de Pendências do 3º Bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108100;093131;1;2016-11-10 21:46:03.703;3
1370;Correção de Pendência do 2º Bimestre 3;2016-12-20 00:00:00.000;2016-12-22 00:00:00.000;3;108100;093131;1;2016-12-20 12:22:13.183;2
1371;Retificação de Pendências 2ºBimestre;2016-12-21 00:00:00.000;2016-12-22 00:00:00.000;3;108500;097721;1;2016-12-21 15:28:37.860;2
